arabic_sentence,franco_arabic
"فيلا مستقلة للبيع فى فاها بمساحة 384 متر ب 6 أوض و 7 حمامات, بسعر 37701565 في مدينة المستقبل",fyla mstqlh llby3 fy faha bmsa7h 384 mtr b 6 2w9d w 7 7mamat bs3r 37701565 fy mdynh almstqbl
"فيلا مستقلة للبيع فى فاها بمساحة 283 متر ب 6 أوض و 7 حمامات, بسعر 28197224 في مدينة المستقبل",fyla mstqlh llby3 fy faha bmsa7h 283 mtr b 6 2w9d w 7 7mamat bs3r 28197224 fy mdynh almstqbl
"توين هاوس للبيع في صافية 225 متر ب 5 أوض و 4 حمامات, بسعر 31500000 في راس حكمة",twyn haws llby3 fy 9afyh 225 mtr b 5 2w9d w 4 7mamat bs3r 31500000 fy ras 7kmh
"تاون هاوس للبيع في صافية 200 متر ب 3 أوض و 4 حمامات, بسعر 25000000 في راس حكمة",tawn haws llby3 fy 9afyh 200 mtr b 3 2w9d w 4 7mamat bs3r 25000000 fy ras 7kmh
"توين هاوس للبيع في فيلا 209 متر ب 5 أوض و 6 حمامات, بسعر 33080000 في راس حكمة",twyn haws llby3 fy fyla 209 mtr b 5 2w9d w 6 7mamat bs3r 33080000 fy ras 7kmh
"شاليه للبيع في ديا 157 متر ب 3 أوض و 3 حمامات, بسعر 18698000 في راس حكمة",shalyh llby3 fy dya 157 mtr b 3 2w9d w 3 7mamat bs3r 18698000 fy ras 7kmh
"فيلا مستقلة للبيع فى جيو بمساحة 234 متر ب 4 أوض و 5 حمامات, بسعر 36587000 في راس حكمة",fyla mstqlh llby3 fy gyw bmsa7h 234 mtr b 4 2w9d w 5 7mamat bs3r 36587000 fy ras 7kmh
"شالية للبيع فى جيو بمساحة 281 متر ب 3 أوض و 4 حمامات, بسعر 22747000 في راس حكمة",shalyh llby3 fy gyw bmsa7h 281 mtr b 3 2w9d w 4 7mamat bs3r 22747000 fy ras 7kmh
"فيلا مستقلة للبيع فى جيو بمساحة 202 متر ب 3 أوض و 3 حمامات, بسعر 22825000 في راس حكمة",fyla mstqlh llby3 fy gyw bmsa7h 202 mtr b 3 2w9d w 3 7mamat bs3r 22825000 fy ras 7kmh
"شالية للبيع فى جيو بمساحة 140 متر ب أوضتين و 3 حمامات, بسعر 12935000 في راس حكمة",shalyh llby3 fy gyw bmsa7h 140 mtr b 2w9dtyn w 3 7mamat bs3r 12935000 fy ras 7kmh
"بنك للبيع في راديوم 255 متر ب 4 أوض و 4 حمامات, بسعر 73542000 في القاهرة الجديدة",bnk llby3 fy radywm 255 mtr b 4 2w9d w 4 7mamat bs3r 73542000 fy alqahrh algdydh
"بنك للبيع في راديوم 126 متر ب أوضة و حمام, بسعر 32445000 في القاهرة الجديدة",bnk llby3 fy radywm 126 mtr b 2w9dh w 7mam bs3r 32445000 fy alqahrh algdydh
"مكتب ادارى للبيع فى ذا كابيتال واى بمساحة 60 متر ب أوضة و حمام, بسعر 8896000 في ماديناتي",mktb adary llby3 fy dha kabytal way bmsa7h 60 mtr b 2w9dh w 7mam bs3r 8896000 fy madynaty
"مكتب ادارى للبيع فى ذا كابيتال واى بمساحة 135 متر ب 3 أوض و حمامين, بسعر 20102000 في ماديناتي",mktb adary llby3 fy dha kabytal way bmsa7h 135 mtr b 3 2w9d w 7mamyn bs3r 20102000 fy madynaty
"استوديو للبيع فى بيجونيا ريزيدنس بمساحة 43 متر ب أوضة و حمام, بسعر 2800000 في القاهرة الجديدة",astwdyw llby3 fy bygwnya ryzydns bmsa7h 43 mtr b 2w9dh w 7mam bs3r 2800000 fy alqahrh algdydh
"شقة للبيع فى بيجونيا ريزيدنس بمساحة 71 متر ب أوضة و حمام, بسعر 5300000 في القاهرة الجديدة",shqh llby3 fy bygwnya ryzydns bmsa7h 71 mtr b 2w9dh w 7mam bs3r 5300000 fy alqahrh algdydh
"شقة للبيع فى بيجونيا ريزيدنس بمساحة 184 متر ب 3 أوض و 3 حمامات, بسعر 7900000 في القاهرة الجديدة",shqh llby3 fy bygwnya ryzydns bmsa7h 184 mtr b 3 2w9d w 3 7mamat bs3r 7900000 fy alqahrh algdydh
"دوبلكس للبيع فى بيجونيا ريزيدنس بمساحة 240 متر ب 3 أوض و 3 حمامات, بسعر 14500000 في القاهرة الجديدة",dwblks llby3 fy bygwnya ryzydns bmsa7h 240 mtr b 3 2w9d w 3 7mamat bs3r 14500000 fy alqahrh algdydh
"بنت هاوس للبيع في كاي السخنة 316 متر ب 4 أوض و 4 حمامات, بسعر 50302898 في العين السخنة",bnt haws llby3 fy kay als5nh 316 mtr b 4 2w9d w 4 7mamat bs3r 50302898 fy al3yn als5nh
"لوفت للبيع في كاي السخنة 111 متر ب أوضة و حمامين, بسعر 10910385 في العين السخنة",lwft llby3 fy kay als5nh 111 mtr b 2w9dh w 7mamyn bs3r 10910385 fy al3yn als5nh
"ستوديو للبيع في كاي السخنة 74 متر ب أوضة و حمام, بسعر 8978938 في العين السخنة",stwdyw llby3 fy kay als5nh 74 mtr b 2w9dh w 7mam bs3r 8978938 fy al3yn als5nh
"بنت هاوس للبيع في ذا امايا 251 متر ب 3 أوض و 4 حمامات, بسعر 49727830 في القاهرة الجديدة",bnt haws llby3 fy dha amaya 251 mtr b 3 2w9d w 4 7mamat bs3r 49727830 fy alqahrh algdydh
"بنت هاوس للبيع في ذا امايا 434 متر ب 4 أوض و 6 حمامات, بسعر 71634628 في القاهرة الجديدة",bnt haws llby3 fy dha amaya 434 mtr b 4 2w9d w 6 7mamat bs3r 71634628 fy alqahrh algdydh
"شقة للبيع في ذا أمايا 291 متر ب 4 أوض و 4 حمامات, بسعر 47425684 في القاهرة الجديدة",shqh llby3 fy dha 2maya 291 mtr b 4 2w9d w 4 7mamat bs3r 47425684 fy alqahrh algdydh
"شقة للبيع في ابراج نورث ايدج العلمين 231 متر ب 3 أوض و 3 حمامات, بسعر 35981000 في العلمين الجديدة",shqh llby3 fy abrag nwrth aydg al3lmyn 231 mtr b 3 2w9d w 3 7mamat bs3r 35981000 fy al3lmyn algdydh
"بنت هاوس للبيع في ذا فيونيكس 294 متر ب 4 أوض و 4 حمامات, بسعر 40567543 في القاهرة الجديدة",bnt haws llby3 fy dha fywnyks 294 mtr b 4 2w9d w 4 7mamat bs3r 40567543 fy alqahrh algdydh
"تاون هاوس للبيع فى تالدا بمساحة 295 متر ب 3 أوض و 4 حمامات, بسعر 22842201 في ماديناتي",tawn haws llby3 fy talda bmsa7h 295 mtr b 3 2w9d w 4 7mamat bs3r 22842201 fy madynaty
"فيلا مستقلة للبيع فى ات ايست بمساحة 370 متر ب 5 أوض و 6 حمامات, بسعر 47752000 في ماديناتي",fyla mstqlh llby3 fy at ayst bmsa7h 370 mtr b 5 2w9d w 6 7mamat bs3r 47752000 fy madynaty
"دوبلكس للبيع فى صن كابيتال بمساحة 185 متر ب 3 أوض و 4 حمامات, بسعر 10016000 في كرداسة",dwblks llby3 fy 9n kabytal bmsa7h 185 mtr b 3 2w9d w 4 7mamat bs3r 10016000 fy krdash
"شقة للبيع في ذا لوفت 269 متر ب 3 أوض و 3 حمامات, بسعر 12728292 في ماديناتي",shqh llby3 fy dha lwft 269 mtr b 3 2w9d w 3 7mamat bs3r 12728292 fy madynaty
"محل تجارى للبيع فى داون تاون 2 ب أوضة و حمام, بسعر 7251020 في ماديناتي",m7l tgary llby3 fy dawn tawn 2 b 2w9dh w 7mam bs3r 7251020 fy madynaty
"محل تجارى للبيع فى داون تاون مول 2 ب أوضة و حمام, بسعر 26666667 في ماديناتي",m7l tgary llby3 fy dawn tawn mwl 2 b 2w9dh w 7mam bs3r 26666667 fy madynaty
"مكتب ادارى للبيع فى ستربيل مول 43 متر ب أوضة و حمام, بسعر 3748500 في ماديناتي",mktb adary llby3 fy strbyl mwl 43 mtr b 2w9dh w 7mam bs3r 3748500 fy madynaty
"مكتب ادارى للبيع فى ستربيل مول 48 متر ب أوضة و حمام, بسعر 6030467 في ماديناتي",mktb adary llby3 fy strbyl mwl 48 mtr b 2w9dh w 7mam bs3r 6030467 fy madynaty
"عيادة طبية  للبيع فى سبينر مول بمساحة 45 متر ب أوضة و حمام, بسعر 3630000 في مصر إلجديدة",3yadh 6byh  llby3 fy sbynr mwl bmsa7h 45 mtr b 2w9dh w 7mam bs3r 3630000 fy m9r 2lgdydh
"محل تجارى للبيع فى سبينر مول بمساحة 42 متر ب أوضة و حمام, بسعر 11700000 في مصر إلجديدة",m7l tgary llby3 fy sbynr mwl bmsa7h 42 mtr b 2w9dh w 7mam bs3r 11700000 fy m9r 2lgdydh
"محل تجارى للبيع فى سبينر مول بمساحة 42 متر ب أوضة و حمام, بسعر 5370000 في مصر إلجديدة",m7l tgary llby3 fy sbynr mwl bmsa7h 42 mtr b 2w9dh w 7mam bs3r 5370000 fy m9r 2lgdydh
"مكتب ادارى للبيع فى سبينر مول بمساحة 45 متر ب أوضة و حمام, بسعر 3100000 في مصر إلجديدة",mktb adary llby3 fy sbynr mwl bmsa7h 45 mtr b 2w9dh w 7mam bs3r 3100000 fy m9r 2lgdydh
"تاون هاوس للبيع في شيراتون ريسدنس بمساحة 362 متر ب 3 أوض و 4 حمامات, بسعر 48000000 في ماديناتي",tawn haws llby3 fy shyratwn rysdns bmsa7h 362 mtr b 3 2w9d w 4 7mamat bs3r 48000000 fy madynaty
"تاون هاوس للبيع في شيراتون ريسدنس بمساحة 403 متر ب 3 أوض و 4 حمامات, بسعر 53400000 في ماديناتي",tawn haws llby3 fy shyratwn rysdns bmsa7h 403 mtr b 3 2w9d w 4 7mamat bs3r 53400000 fy madynaty
"فيلا مستقلة للبيع في شيراتون ريسدنس بمساحة 166 متر ب أوضتين و 3 حمامات, بسعر 25300000 في ماديناتي",fyla mstqlh llby3 fy shyratwn rysdns bmsa7h 166 mtr b 2w9dtyn w 3 7mamat bs3r 25300000 fy madynaty
"فيلا مستقلة للبيع في شيراتون ريسدنس بمساحة 482 متر ب 4 أوض و 5 حمامات, بسعر 71500000 في ماديناتي",fyla mstqlh llby3 fy shyratwn rysdns bmsa7h 482 mtr b 4 2w9d w 5 7mamat bs3r 71500000 fy madynaty
"توين هاوس للبيع فى شيراتون ريسدنس بمساحة 440 متر ب 4 أوض و 4 حمامات, بسعر 60700000 في ماديناتي",twyn haws llby3 fy shyratwn rysdns bmsa7h 440 mtr b 4 2w9d w 4 7mamat bs3r 60700000 fy madynaty
"مكتب ادارى للبيع فى سنترال بوينت بمساحة 39 متر ب أوضة و حمام, بسعر 4848644 في ماديناتي",mktb adary llby3 fy sntral bwynt bmsa7h 39 mtr b 2w9dh w 7mam bs3r 4848644 fy madynaty
"مكتب ادارى  للبيع فى هاب 88 مول بمساحة 42 متر ب أوضة و حمام, بسعر 5040000 في ماديناتي",mktb adary  llby3 fy hab 88 mwl bmsa7h 42 mtr b 2w9dh w 7mam bs3r 5040000 fy madynaty
"دوبلكس للبيع في بافيليون 282 متر ب 4 أوض و 4 حمامات, بسعر 24560029 في القاهرة الجديدة",dwblks llby3 fy bafylywn 282 mtr b 4 2w9d w 4 7mamat bs3r 24560029 fy alqahrh algdydh
"توين هاوس للبيع فى بارك فالى ايليت بمساحة 245 متر ب 3 أوض و 4 حمامات, بسعر 6500000 في 6 أكتوبر",twyn haws llby3 fy bark faly aylyt bmsa7h 245 mtr b 3 2w9d w 4 7mamat bs3r 6500000 fy 6 2ktwbr
"توين هاوس للبيع فى بارك فالى رويال بمساحة 230 متر ب 4 أوض و 4 حمامات, بسعر 6500000 في 6 أكتوبر",twyn haws llby3 fy bark faly rwyal bmsa7h 230 mtr b 4 2w9d w 4 7mamat bs3r 6500000 fy 6 2ktwbr
"فيلا مستقلة للبيع فى بارك فالى رويال بمساحة 280 متر ب 5 أوض و 5 حمامات, بسعر 7500000 في 6 أكتوبر",fyla mstqlh llby3 fy bark faly rwyal bmsa7h 280 mtr b 5 2w9d w 5 7mamat bs3r 7500000 fy 6 2ktwbr
"توين هاوس للبيع فى بارك فالى 12 بمساحة 227  متر ب 4 أوض و 6 حمامات, بسعر 9000000 في 6 أكتوبر",twyn haws llby3 fy bark faly 12 bmsa7h 227  mtr b 4 2w9d w 6 7mamat bs3r 9000000 fy 6 2ktwbr
"فيلا مستقلة للبيع فى بارك فالى 12 بمساحة 253 متر ب 3 أوض و 4 حمامات, بسعر 10000000 في 6 أكتوبر",fyla mstqlh llby3 fy bark faly 12 bmsa7h 253 mtr b 3 2w9d w 4 7mamat bs3r 10000000 fy 6 2ktwbr
"فيلا مستقلة للبيع في هاسيندا وترز 374 متر ب 6 أوض و 7 حمامات, بسعر 101379000 في راس حكمة",fyla mstqlh llby3 fy hasynda wtrz 374 mtr b 6 2w9d w 7 7mamat bs3r 101379000 fy ras 7kmh
"شاليه للبيع في هاسيندا وترز 147 متر ب 3 أوض و 4 حمامات, بسعر 18482000 في راس حكمة",shalyh llby3 fy hasynda wtrz 147 mtr b 3 2w9d w 4 7mamat bs3r 18482000 fy ras 7kmh
"شاليه للبيع في هاسيندا وترز 66 متر ب أوضة و حمام, بسعر 10333000 في راس حكمة",shalyh llby3 fy hasynda wtrz 66 mtr b 2w9dh w 7mam bs3r 10333000 fy ras 7kmh
"كابينة للبيع في هاسيندا وترز 93 متر ب أوضتين و 3 حمامات, بسعر 40815000 في راس حكمة",kabynh llby3 fy hasynda wtrz 93 mtr b 2w9dtyn w 3 7mamat bs3r 40815000 fy ras 7kmh
"كابينة للبيع في هاسيندا وترز 42 متر ب أوضة و حمام, بسعر 17325000 في راس حكمة",kabynh llby3 fy hasynda wtrz 42 mtr b 2w9dh w 7mam bs3r 17325000 fy ras 7kmh
"بنت هاوس للبيع فى ذا لارك ريسدنس بمساحة 143 متر ب 3 أوض و حمامين, بسعر 7785000 في ماديناتي",bnt haws llby3 fy dha lark rysdns bmsa7h 143 mtr b 3 2w9d w 7mamyn bs3r 7785000 fy madynaty
"بنت هاوس للبيع فى ذا لارك ريسدنس بمساحة 115 متر ب أوضتين و حمامين, بسعر 6525000 في ماديناتي",bnt haws llby3 fy dha lark rysdns bmsa7h 115 mtr b 2w9dtyn w 7mamyn bs3r 6525000 fy madynaty
"شقة للبيع فى ذا لارك ريسدنس بمساحة 186  متر ب 3 أوض و 3 حمامات, بسعر 9039000 في ماديناتي",shqh llby3 fy dha lark rysdns bmsa7h 186  mtr b 3 2w9d w 3 7mamat bs3r 9039000 fy madynaty
"شقة للبيع فى ذا لارك ريسدنس بمساحة 76 متر ب أوضة و حمام, بسعر 3420000 في ماديناتي",shqh llby3 fy dha lark rysdns bmsa7h 76 mtr b 2w9dh w 7mam bs3r 3420000 fy madynaty
"محل تجارى للبيع فى بارك لين بمساحة 44 متر ب أوضة و حمام, بسعر 8200000 في ماديناتي",m7l tgary llby3 fy bark lyn bmsa7h 44 mtr b 2w9dh w 7mam bs3r 8200000 fy madynaty
"محل تجارى للبيع فى بارك لين بمساحة 266 متر ب 3 أوض و 4 حمامات, بسعر 30466000 في ماديناتي",m7l tgary llby3 fy bark lyn bmsa7h 266 mtr b 3 2w9d w 4 7mamat bs3r 30466000 fy madynaty
"فيلا مستقلة للبيع فى ويست ليفز بمساحة 160 متر ب 3 أوض و 3 حمامات, بسعر 10500000 في مدينة المستقبل",fyla mstqlh llby3 fy wyst lyfz bmsa7h 160 mtr b 3 2w9d w 3 7mamat bs3r 10500000 fy mdynh almstqbl
"فيلا مستقلة لبيع فى ذا 101 مدينة المستقبل بمساحة 260 متر ب 3 أوض و 3 حمامات, بسعر 34000000 في ماديناتي",fyla mstqlh lby3 fy dha 101 mdynh almstqbl bmsa7h 260 mtr b 3 2w9d w 3 7mamat bs3r 34000000 fy madynaty
"تاون هاوس للبيع فى ذا 101 مدينة المستقبل بمساحة 170 متر ب 4 أوض و 4 حمامات, بسعر 17200000 في ماديناتي",tawn haws llby3 fy dha 101 mdynh almstqbl bmsa7h 170 mtr b 4 2w9d w 4 7mamat bs3r 17200000 fy madynaty
"شاليه للبيع فى باى سايد بمساحة 75 متر ب أوضة و حمام, بسعر 4500000 في العين السخنة",shalyh llby3 fy bay sayd bmsa7h 75 mtr b 2w9dh w 7mam bs3r 4500000 fy al3yn als5nh
"شقة للبيع فى ذا 101 مدينة المستقبل بمساحة 135 متر ب 3 أوض و حمامين, بسعر 7400000 في ماديناتي",shqh llby3 fy dha 101 mdynh almstqbl bmsa7h 135 mtr b 3 2w9d w 7mamyn bs3r 7400000 fy madynaty
"شقة للبيع فى ذا 101 مدينة المستقبل  بمساحة 113 متر ب أوضتين و حمام, بسعر 6150000 في ماديناتي",shqh llby3 fy dha 101 mdynh almstqbl  bmsa7h 113 mtr b 2w9dtyn w 7mam bs3r 6150000 fy madynaty
"تاون هاوس للبيع في نيوم مستقبل سيتي 294 متر ب 5 أوض و 4 حمامات, بسعر 22050000 في ماديناتي",tawn haws llby3 fy nywm mstqbl syty 294 mtr b 5 2w9d w 4 7mamat bs3r 22050000 fy madynaty
"تاون هاوس للبيع في نيوم مستقبل سيتي 120 متر ب 3 أوض و 3 حمامات, بسعر 9000000 في ماديناتي",tawn haws llby3 fy nywm mstqbl syty 120 mtr b 3 2w9d w 3 7mamat bs3r 9000000 fy madynaty
"لوفت للبيع فى كلوب هيلز ريزيدنس 230 متر ب 4 أوض و 4 حمامات, بسعر 16000000 في 6 أكتوبر",lwft llby3 fy klwb hylz ryzydns 230 mtr b 4 2w9d w 4 7mamat bs3r 16000000 fy 6 2ktwbr
"تاون هاوس للبيع فى كلوب هيلز ريزيدنس 240 متر ب 3 أوض و 3 حمامات, بسعر 22500000 في 6 أكتوبر",tawn haws llby3 fy klwb hylz ryzydns 240 mtr b 3 2w9d w 3 7mamat bs3r 22500000 fy 6 2ktwbr
"تاون هاوس للبيع فى كلوب هيلز ريزيدنس 190 متر ب 3 أوض و 3 حمامات, بسعر 16500000 في 6 أكتوبر",tawn haws llby3 fy klwb hylz ryzydns 190 mtr b 3 2w9d w 3 7mamat bs3r 16500000 fy 6 2ktwbr
"دوبلكس للبيع فى كلوب هيلز ريزيدنس 175 متر ب 3 أوض و حمامين, بسعر 15000000 في 6 أكتوبر",dwblks llby3 fy klwb hylz ryzydns 175 mtr b 3 2w9d w 7mamyn bs3r 15000000 fy 6 2ktwbr
"شقة للبيع فى كلوب هيلز ريزيدنس 165 متر ب 3 أوض و 4 حمامات, بسعر 11600000 في 6 أكتوبر",shqh llby3 fy klwb hylz ryzydns 165 mtr b 3 2w9d w 4 7mamat bs3r 11600000 fy 6 2ktwbr
"شقة للبيع فى كلوب هيلز ريزيدنس 115 متر ب أوضتين و حمامين, بسعر 8000000 في 6 أكتوبر",shqh llby3 fy klwb hylz ryzydns 115 mtr b 2w9dtyn w 7mamyn bs3r 8000000 fy 6 2ktwbr
"فيلا مستقلة  للبيع فى كون بمساحة 150 متر ب 3 أوض و 3 حمامات, بسعر 25000000 في راس حكمة",fyla mstqlh  llby3 fy kwn bmsa7h 150 mtr b 3 2w9d w 3 7mamat bs3r 25000000 fy ras 7kmh
"توين هاوس للبيع فى كون بمساحة 188 متر ب 4 أوض و 3 حمامات, بسعر 30800000 في راس حكمة",twyn haws llby3 fy kwn bmsa7h 188 mtr b 4 2w9d w 3 7mamat bs3r 30800000 fy ras 7kmh
"توين هاوس للبيع في اوجامي 268 متر ب 4 أوض و 4 حمامات, بسعر 47080000 في راس حكمة",twyn haws llby3 fy awgamy 268 mtr b 4 2w9d w 4 7mamat bs3r 47080000 fy ras 7kmh
"توين هاوس للبيع في اوجامي 268 متر ب 4 أوض و 4 حمامات, بسعر 51370000 في راس حكمة",twyn haws llby3 fy awgamy 268 mtr b 4 2w9d w 4 7mamat bs3r 51370000 fy ras 7kmh
"فيلا مستقلة للبيع في اوجامي 394 متر ب 5 أوض و 7 حمامات, بسعر 208780000 في راس حكمة",fyla mstqlh llby3 fy awgamy 394 mtr b 5 2w9d w 7 7mamat bs3r 208780000 fy ras 7kmh
"فيلا مستقلة للبيع في اوجامي 254 متر ب 3 أوض و 4 حمامات, بسعر 55440000 في راس حكمة",fyla mstqlh llby3 fy awgamy 254 mtr b 3 2w9d w 4 7mamat bs3r 55440000 fy ras 7kmh
"توين هاوس للبيع في صن كابيتال 300متر ب 3 أوض و 3 حمامات, بسعر 41000000 في كرداسة",twyn haws llby3 fy 9n kabytal 300mtr b 3 2w9d w 3 7mamat bs3r 41000000 fy krdash
"فيلا مستقلة للبيع في صن كابيتال 188 متر ب 3 أوض و 6 حمامات, بسعر 18200000 في كرداسة",fyla mstqlh llby3 fy 9n kabytal 188 mtr b 3 2w9d w 6 7mamat bs3r 18200000 fy krdash
"فيلا مستقلة للبيع في صن كابيتال 400 متر ب 3 أوض و 6 حمامات, بسعر 71000000 في كرداسة",fyla mstqlh llby3 fy 9n kabytal 400 mtr b 3 2w9d w 6 7mamat bs3r 71000000 fy krdash
"دوبلكس للبيع فى كون بمساحة 120 متر ب 3 أوض و 3 حمامات, بسعر 19000000 في راس حكمة",dwblks llby3 fy kwn bmsa7h 120 mtr b 3 2w9d w 3 7mamat bs3r 19000000 fy ras 7kmh
"فيلا مستقلة للبيع فى بارك فالى ايليت بمساحة 285 متر ب 3 أوض و 3 حمامات, بسعر 7500000 في 6 أكتوبر",fyla mstqlh llby3 fy bark faly aylyt bmsa7h 285 mtr b 3 2w9d w 3 7mamat bs3r 7500000 fy 6 2ktwbr
"توين هاوس للبيع فى سمر بمساحة 185 متر ب 3 أوض و 4 حمامات, بسعر 31083000 في راس حكمة",twyn haws llby3 fy smr bmsa7h 185 mtr b 3 2w9d w 4 7mamat bs3r 31083000 fy ras 7kmh
"شقة للبيع فى كراون بلازا بمساحة 70 متر ب أوضة و حمام, بسعر 11200000 في القاهرة الجديدة",shqh llby3 fy krawn blaza bmsa7h 70 mtr b 2w9dh w 7mam bs3r 11200000 fy alqahrh algdydh
"شقة للبيع فى كراون بلازا بمساحة 129 متر ب أوضتين و حمامين, بسعر 15253392 في القاهرة الجديدة",shqh llby3 fy krawn blaza bmsa7h 129 mtr b 2w9dtyn w 7mamyn bs3r 15253392 fy alqahrh algdydh
"دوبلكس للبيع فى تراس بمساحة 260 متر ب 3 أوض و 3 حمامات, بسعر 17966499 في مدينة المستقبل",dwblks llby3 fy tras bmsa7h 260 mtr b 3 2w9d w 3 7mamat bs3r 17966499 fy mdynh almstqbl
"دوبلكس للبيع فى تراس بمساحة 250 متر ب 3 أوض و 3 حمامات, بسعر 16216500 في مدينة المستقبل",dwblks llby3 fy tras bmsa7h 250 mtr b 3 2w9d w 3 7mamat bs3r 16216500 fy mdynh almstqbl
"عيادة طبية للبيع فى تراس بمساحة 75 متر ب أوضة و حمام, بسعر 8747250 في مدينة المستقبل",3yadh 6byh llby3 fy tras bmsa7h 75 mtr b 2w9dh w 7mam bs3r 8747250 fy mdynh almstqbl
"عيادة طبية للبيع فى تراس بمساحة 43 متر ب أوضة و حمام, بسعر 4601000 في مدينة المستقبل",3yadh 6byh llby3 fy tras bmsa7h 43 mtr b 2w9dh w 7mam bs3r 4601000 fy mdynh almstqbl
"محل تجارى للبيع فى ذا جراى بمساحة 542 متر ب 5 أوض و 6 حمامات, بسعر 173440000 في القاهرة الجديدة",m7l tgary llby3 fy dha gray bmsa7h 542 mtr b 5 2w9d w 6 7mamat bs3r 173440000 fy alqahrh algdydh
"محل تجارى للبيع فى ذا جراى بمساحة 44 متر ب أوضة و حمام, بسعر 11440000 في القاهرة الجديدة",m7l tgary llby3 fy dha gray bmsa7h 44 mtr b 2w9dh w 7mam bs3r 11440000 fy alqahrh algdydh
"عيادة طبية للبيع فى ذا جراى بمساحة 136 متر ب أوضتين و حمامين, بسعر 21624000 في القاهرة الجديدة",3yadh 6byh llby3 fy dha gray bmsa7h 136 mtr b 2w9dtyn w 7mamyn bs3r 21624000 fy alqahrh algdydh
"عيادة طبية للبيع فى ذا جراى بمساحة 38 متر ب أوضة و حمام, بسعر 6650000 في القاهرة الجديدة",3yadh 6byh llby3 fy dha gray bmsa7h 38 mtr b 2w9dh w 7mam bs3r 6650000 fy alqahrh algdydh
"مكتب ادارى للبيع فى ذا جراى بمساحة 1361 متر ب أوضة و حمام, بسعر 238175000 في القاهرة الجديدة",mktb adary llby3 fy dha gray bmsa7h 1361 mtr b 2w9dh w 7mam bs3r 238175000 fy alqahrh algdydh
"مكتب ادارى للبيع فى ذا جراى بمساحة 30 متر ب 3 أوض و 4 حمامات, بسعر 4980000 في القاهرة الجديدة",mktb adary llby3 fy dha gray bmsa7h 30 mtr b 3 2w9d w 4 7mamat bs3r 4980000 fy alqahrh algdydh
"دوبلكس للبيع فى اس كيو 1 بمساحة 243 متر ب 3 أوض و 3 حمامات, بسعر 32676458 في القاهرة الجديدة",dwblks llby3 fy as kyw 1 bmsa7h 243 mtr b 3 2w9d w 3 7mamat bs3r 32676458 fy alqahrh algdydh
"شقة للبيع فى اس كيو 1 بمساحة 174 متر ب أوضة و حمام, بسعر 26792401 في القاهرة الجديدة",shqh llby3 fy as kyw 1 bmsa7h 174 mtr b 2w9dh w 7mam bs3r 26792401 fy alqahrh algdydh
